YearTestDraft,Year,Country Name,Indicator Name,Value
5/10/2018,2018-05-10,GB,Depositors,1.00
5/10/2018,2018-05-10,AU,Depositors,2.00
5/10/2018,2018-05-10,TR,Depositors,1.00
5/10/2018,2018-05-10,UA,Depositors,1.00
5/10/2018,2018-05-10,ES,Depositors,1.00
5/10/2018,2018-05-10,IN,Depositors,1.00
5/10/2018,2018-05-10,AR,Depositors,3.00
5/10/2018,2018-05-10,LV,Depositors,1.00
5/11/2018,2018-05-11,AR,Revenue,116.47
5/11/2018,2018-05-11,DE,Revenue,39.66
5/11/2018,2018-05-11,CH,Revenue,26.31
5/11/2018,2018-05-11,IT,Revenue,16.95
5/11/2018,2018-05-11,RU,Revenue,8.40
5/11/2018,2018-05-11,AU,Revenue,75.85
5/11/2018,2018-05-11,IL,Revenue,316.80
5/11/2018,2018-05-11,US,Revenue,32.43
5/11/2018,2018-05-11,HR,Revenue,7.52
5/11/2018,2018-05-11,SG,Revenue,28.61
5/11/2018,2018-05-11,ID,Revenue,22.92
5/11/2018,2018-05-11,UY,Revenue,9.55
5/11/2018,2018-05-11,AR,Deposits,5.00
5/11/2018,2018-05-11,DE,Deposits,5.00
5/11/2018,2018-05-11,CH,Deposits,1.00
5/11/2018,2018-05-11,IT,Deposits,1.00
5/11/2018,2018-05-11,RU,Deposits,3.00
5/11/2018,2018-05-11,AU,Deposits,2.00
5/11/2018,2018-05-11,IL,Deposits,1.00
5/11/2018,2018-05-11,US,Deposits,4.00
5/11/2018,2018-05-11,HR,Deposits,1.00
5/11/2018,2018-05-11,SG,Deposits,2.00
5/11/2018,2018-05-11,ID,Deposits,3.00
5/11/2018,2018-05-11,UY,Deposits,1.00
5/11/2018,2018-05-11,AR,ARPPU,116.47
5/11/2018,2018-05-11,DE,ARPPU,19.83
5/11/2018,2018-05-11,CH,ARPPU,26.31
5/11/2018,2018-05-11,IT,ARPPU,16.95
5/11/2018,2018-05-11,RU,ARPPU,4.20
5/11/2018,2018-05-11,AU,ARPPU,75.85
5/11/2018,2018-05-11,IL,ARPPU,316.80
5/11/2018,2018-05-11,US,ARPPU,10.81
5/11/2018,2018-05-11,HR,ARPPU,7.52
5/11/2018,2018-05-11,SG,ARPPU,14.30
5/11/2018,2018-05-11,ID,ARPPU,22.92
5/11/2018,2018-05-11,UY,ARPPU,9.55
5/11/2018,2018-05-11,AR,Depositors,1.00
5/11/2018,2018-05-11,DE,Depositors,2.00
5/11/2018,2018-05-11,CH,Depositors,1.00
5/11/2018,2018-05-11,IT,Depositors,1.00
5/11/2018,2018-05-11,RU,Depositors,2.00
5/11/2018,2018-05-11,AU,Depositors,1.00
5/11/2018,2018-05-11,IL,Depositors,1.00
5/11/2018,2018-05-11,US,Depositors,3.00
5/11/2018,2018-05-11,HR,Depositors,1.00
5/11/2018,2018-05-11,SG,Depositors,2.00
5/11/2018,2018-05-11,ID,Depositors,1.00
5/11/2018,2018-05-11,UY,Depositors,1.00
5/12/2018,2018-05-12,US,Revenue,52.27
5/12/2018,2018-05-12,RU,Revenue,47.75
5/12/2018,2018-05-12,BG,Revenue,7.89
5/12/2018,2018-05-12,OM,Revenue,15.28
5/12/2018,2018-05-12,DE,Revenue,23.82
5/12/2018,2018-05-12,TR,Revenue,15.99
5/12/2018,2018-05-12,UA,Revenue,22.71
5/12/2018,2018-05-12,AU,Revenue,76.03
5/12/2018,2018-05-12,VN,Revenue,7.64
5/12/2018,2018-05-12,BY,Revenue,11.02
5/12/2018,2018-05-12,MY,Revenue,28.66
5/12/2018,2018-05-12,AR,Revenue,131.89
5/12/2018,2018-05-12,CH,Revenue,48.42
5/12/2018,2018-05-12,US,Deposits,3.00
5/12/2018,2018-05-12,RU,Deposits,5.00
5/12/2018,2018-05-12,BG,Deposits,1.00
5/12/2018,2018-05-12,OM,Deposits,2.00
5/12/2018,2018-05-12,DE,Deposits,3.00
5/12/2018,2018-05-12,TR,Deposits,1.00
5/12/2018,2018-05-12,UA,Deposits,2.00
5/12/2018,2018-05-12,AU,Deposits,2.00
5/12/2018,2018-05-12,VN,Deposits,1.00
5/12/2018,2018-05-12,BY,Deposits,3.00
5/12/2018,2018-05-12,MY,Deposits,3.00
5/12/2018,2018-05-12,AR,Deposits,11.00
5/12/2018,2018-05-12,CH,Deposits,5.00
5/12/2018,2018-05-12,US,ARPPU,26.14
5/12/2018,2018-05-12,RU,ARPPU,23.87
5/12/2018,2018-05-12,BG,ARPPU,7.89
5/12/2018,2018-05-12,OM,ARPPU,15.28
5/12/2018,2018-05-12,DE,ARPPU,11.91
5/12/2018,2018-05-12,TR,ARPPU,15.99
5/12/2018,2018-05-12,UA,ARPPU,22.71
5/12/2018,2018-05-12,AU,ARPPU,76.03
5/12/2018,2018-05-12,VN,ARPPU,7.64
5/12/2018,2018-05-12,BY,ARPPU,5.51
5/12/2018,2018-05-12,MY,ARPPU,28.66
5/12/2018,2018-05-12,AR,ARPPU,16.49
5/12/2018,2018-05-12,CH,ARPPU,16.14
5/12/2018,2018-05-12,US,Depositors,2.00
5/12/2018,2018-05-12,RU,Depositors,2.00
5/12/2018,2018-05-12,BG,Depositors,1.00
5/12/2018,2018-05-12,OM,Depositors,1.00
5/12/2018,2018-05-12,DE,Depositors,2.00
5/12/2018,2018-05-12,TR,Depositors,1.00
5/12/2018,2018-05-12,UA,Depositors,1.00
5/12/2018,2018-05-12,AU,Depositors,1.00
5/12/2018,2018-05-12,VN,Depositors,1.00
5/12/2018,2018-05-12,BY,Depositors,2.00
5/12/2018,2018-05-12,MY,Depositors,1.00
5/12/2018,2018-05-12,AR,Depositors,8.00
5/12/2018,2018-05-12,CH,Depositors,3.00
5/13/2018,2018-05-13,RU,Revenue,36.96
5/13/2018,2018-05-13,DE,Revenue,11.51
5/13/2018,2018-05-13,LV,Revenue,2.54
5/13/2018,2018-05-13,PA,Revenue,9.55
5/13/2018,2018-05-13,IL,Revenue,9.50
5/13/2018,2018-05-13,CZ,Revenue,7.83
5/13/2018,2018-05-13,DK,Revenue,1.88
5/13/2018,2018-05-13,US,Revenue,29.54
5/13/2018,2018-05-13,AU,Revenue,38.01
